disease_name,spread_percentage,pesticide_name,common_name,REI,PHI,what_caused_it
Tomato Bacterial Spot,0.1,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.2,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.3,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.4,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.5,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.6,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.7,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.8,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,0.9,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
Tomato Bacterial Spot,1.0,Kocide 3000,Copper Hydroxide,24,0,"Tomato Bacterial Spot is caused by Xanthomonas campestris pv. vesicatoria. The disease begins as small, water-soaked spots on leaves, stems, and fruit. At low spread, the disease may be limited to a few affected areas with minor impact on the overall plant health. Warm, wet conditions promote the growth and spread of the bacteria, especially during periods of rain or overhead irrigation."
